"seed";"shape";"sensor.config";"architecture";"step";"controller";"iterations"
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"RNN";131
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF";194
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";80
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"MLP";201
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"RNN";50
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";281
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";327
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";135
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";190
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";132
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";93
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";232
0;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";201
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF";134
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";53
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"MLP";59
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"RNN";40
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF";48
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";57
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"MLP";57
0;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"RNN";27
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF";223
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";206
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"MLP";552
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"RNN";41
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF";100
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";79
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"MLP";350
0;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"RNN";37
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";200
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";218
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";181
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";160
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";314
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";111
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";142
0;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";203
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF";60
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";38
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"MLP";152
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"RNN";57
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF";87
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";65
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"MLP";165
0;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"RNN";24
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF";300
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF-H";72
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"MLP";509
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"RNN";123
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF";261
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF-H";382
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"MLP";480
1;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"RNN";33
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";122
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";317
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";40
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";102
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";215
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";162
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";318
1;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";260
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF";40
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF-H";11
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"MLP";121
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"RNN";60
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF";38
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF-H";39
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"MLP";112
1;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"RNN";74
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF";276
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";60
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"MLP";379
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"RNN";77
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF";167
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";111
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"MLP";123
1;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"RNN";50
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";162
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";79
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";227
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";109
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";174
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";82
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";192
1;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";187
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF";59
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";111
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"MLP";335
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"RNN";60
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF";221
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";132
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"MLP";80
1;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"RNN";32
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF";33
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";285
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"MLP";548
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"RNN";78
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF";82
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";140
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"MLP";309
1;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"RNN";34
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";289
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";201
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";107
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";81
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";234
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";177
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";85
1;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";74
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF";45
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";37
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"MLP";304
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"RNN";83
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF";75
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";51
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"MLP";77
1;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"RNN";21
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF";141
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF-H";153
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"MLP";6
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"RNN";154
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF";163
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF-H";85
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"MLP";262
2;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"RNN";31
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";143
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";91
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";115
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";341
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";305
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";121
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";176
2;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";181
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF";47
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF-H";229
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"MLP";51
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"RNN";52
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF";39
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF-H";76
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"MLP";50
2;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"RNN";30
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF";124
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";94
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"MLP";24
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"RNN";89
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF";318
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";75
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"MLP";424
2;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"RNN";44
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";295
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";242
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";137
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";134
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";212
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";140
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";162
2;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";71
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF";86
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";132
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"MLP";75
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"RNN";47
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF";82
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";253
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"MLP";61
2;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"RNN";55
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF";447
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";173
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"MLP";17
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"RNN";73
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF";81
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";112
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"MLP";353
2;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"RNN";52
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";410
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";94
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";358
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";90
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";200
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";133
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";88
2;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";43
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF";133
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";49
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"MLP";141
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"RNN";30
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF";53
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";50
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"MLP";219
2;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"RNN";30
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF";201
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF-H";176
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"MLP";396
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"RNN";337
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF";105
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF-H";222
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"MLP";129
3;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"RNN";96
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";171
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";225
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";166
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";84
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";339
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";55
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";272
3;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";162
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF";60
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF-H";115
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"MLP";316
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"RNN";56
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF";91
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF-H";24
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"MLP";82
3;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"RNN";44
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF";117
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";112
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"MLP";3
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"RNN";139
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF";223
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";57
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"MLP";467
3;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"RNN";183
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";139
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";138
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";70
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";130
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";234
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";84
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";119
3;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";57
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF";139
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";430
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"MLP";192
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"RNN";72
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF";61
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";126
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"MLP";65
3;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"RNN";29
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF";136
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";229
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"MLP";41
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"RNN";38
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF";124
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";249
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"MLP";397
3;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"RNN";29
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";325
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";175
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";174
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";98
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";321
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";84
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";309
3;"worm-5x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";78
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF";40
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";46
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"MLP";98
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"F";"RNN";28
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF";77
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";64
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"MLP";79
3;"worm-5x2";"touch-f-f-0.01";"Centralized";"T";"RNN";27
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF";453
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF-H";149
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"MLP";6
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"RNN";87
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF";271
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF-H";96
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"MLP";316
4;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"RNN";41
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";479
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";209
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";119
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";192
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";452
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";57
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";382
4;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";87
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF";32
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF-H";146
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"MLP";203
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"RNN";38
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF";5
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF-H";26
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"MLP";139
4;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"RNN";56
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF";180
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";64
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"MLP";153
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"RNN";96
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF";269
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"LIF-H";102
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"MLP";541
4;"comb-7x2";"sight-f-f-0.01";"Centralized";"T";"RNN";32
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";153
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";128
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";319
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";191
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";189
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";145
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";257
4;"comb-7x2";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";97
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF";67
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"LIF-H";80
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"MLP";89
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"F";"RNN";114
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF";536
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"LIF-H";125
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"MLP";65
4;"comb-7x2";"touch-f-f-0.01";"Centralized";"T";"RNN";28
4;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF";251
4;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";75
4;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"MLP";318
4;"worm-5x2";"sight-f-f-0.01";"Centralized";"F";"RNN";29
4;"worm-5x2";"sight-f-f-0.01";"Centralized";"T";"LIF";151
