"seed";"shape";"sensor.config";"architecture";"step";"controller";"iterations"
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF";278
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"LIF-H";314
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"MLP";79
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"F";"RNN";185
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF";218
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"LIF-H";248
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"MLP";132
0;"biped-4x3";"sight-f-f-0.01";"Centralized";"T";"RNN";62
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF";205
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"LIF-H";210
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"MLP";184
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"F";"RNN";138
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF";380
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"LIF-H";436
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"MLP";216
0;"biped-4x3";"spinedTouchSighted-f-f-0.01";"Centralized";"T";"RNN";197
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF";48
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"LIF-H";45
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"MLP";83
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"F";"RNN";77
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF";39
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"LIF-H";67
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"MLP";95
0;"biped-4x3";"touch-f-f-0.01";"Centralized";"T";"RNN";82
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF";479
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"LIF-H";264
0;"comb-7x2";"sight-f-f-0.01";"Centralized";"F";"MLP";79
